ticket_subject,ticket_description,category,subcategory,device_type,tags
Laptop battery fails to charge,"The battery of my Lenovo laptop is not charging even when plugged in. I have tried using a different power adapter and outlet, but the issue remains. Please assist.",hardware,laptop,laptop,"hardware,laptop,power,charging"
Cannot print from office printer,"I am unable to send print jobs to the main office printer. The device is online but nothing prints, and there are no error messages.",hardware,printer,printer,"hardware,printer,printing,error"
Server room temperature alert,Received an alert that the server room temperature exceeds safe operating thresholds. Please investigate and resolve as soon as possible.,hardware,server,server,"hardware,server,temperature,critical"
Forgotten VPN password,I cannot remember the password to access the company VPN. I need urgent access to HR files for onboarding new employees.,access,VPN,laptop,"access,vpn,password,hr"
Cannot access legal application,The legal case management app is not letting me log in. It says my account is locked. Please unlock my account as soon as possible.,access,application,desktop,"access,application,unlock,legal"
Test ticket for Unicode support,"Creating a ticket to verify that Unicode characters like Ã¤, Ã¼, and æ¼¢å­— are correctly handled in the system.",other,unicode,,"test,edge-case,unicode,support"
WiFi connectivity issues in lounge,Staff are unable to connect to WiFi in the executive lounge. Multiple devices affected. Please resolve urgently.,network,WiFi,tablet,"network,wifi,critical,lounge"
ERP application slow performance,"The ERP software is extremely slow today, causing delays in processing purchase orders. Need assistance to improve performance.",software,ERP,desktop,"software,erp,performance,procurement"
Edge case: epoch time test,This is a special ticket to test how the system handles epoch time values. Please do not resolve.,other,epoch,,"test,edge-case,epoch,special"
Email delivery delayed for clients,Client emails are not being delivered in a timely manner. Some messages are delayed by more than an hour. Need urgent fix.,software,email,desktop,"software,email,delivery,marketing"
LAN outage in main office,The main office LAN is down. No one can access internal resources. Please restore connectivity as quickly as possible.,network,LAN,server,"network,lan,outage,critical"
Test ticket for system load,This is a load testing ticket to check system performance under high ticket volume. No action required.,other,test,desktop,"test,edge-case,load,performance"
Tablet not charging in boardroom,The tablet in the main boardroom is not holding a charge. We need it for upcoming executive presentations.,hardware,tablet,tablet,"hardware,tablet,charging,executive"
Edge case: missing department,This ticket was created without a department to test system behavior for incomplete records.,other,test,,"test,edge-case,missing,department"
ERP system login fails intermittently,Users report intermittent login failures to the ERP system. This is affecting order processing on the production floor.,software,ERP,desktop,"software,erp,login,production"
LAN switch replacement required,A LAN switch in the support area has failed. No devices can connect to the network in that area.,network,LAN,server,"network,lan,switch,critical"
Password reset required for legal app,Cannot reset password for the legal documentation application. The self-service reset is not working.,access,password,desktop,"access,password,legal,reset"
Scanner software not launching,"The scanner software crashes on startup, preventing us from digitizing shipping documents.",software,scanner,desktop,"software,scanner,logistics,crash"
VPN access request for new hire,New operations team member needs VPN access to core systems. Please set up and send credentials.,access,VPN,laptop,"access,vpn,operations,credentials"
IoT sensor data unreliable,IoT sensors in the data center are reporting inconsistent temperature and humidity readings.,hardware,IoT sensor,IoT sensor,"hardware,iot,sensor,data"
Desktop not powering on,The desktop PC in the executive suite won't turn on. Power supply confirmed working.,hardware,desktop,desktop,"hardware,desktop,power,executive"
Printer paper jam repeatedly,The legal department printer is constantly jamming even after clearing old paper. Please inspect and repair.,hardware,printer,printer,"hardware,printer,jam,legal"
Unicode support check,"Ticket created for checking Unicode handling: Î±Î²Î³, ÐºÐ¸Ñ€Ð¸Ð»Ð»Ð¸Ñ†Ð°, æ¼¢å­—.",other,unicode,,"test,unicode,support,edge-case"
Monitor flickering in workspace,Monitor in Finance workspace flickers and sometimes turns off. Need replacement or repair.,hardware,monitor,monitor,"hardware,monitor,flicker,finance"
Mobile device WiFi not connecting,Sales demo mobile device cannot connect to WiFi in the office. Other devices seem to be fine.,network,WiFi,mobile,"network,wifi,mobile,sales"
Unable to access application remotely,Operations staff working remotely cannot access core application. Possible access control issue.,access,application,laptop,"access,application,remote,operations"
Laptop blue screen error,My laptop has encountered a blue screen error twice today. Please diagnose and fix.,hardware,laptop,laptop,"hardware,laptop,error,blue-screen"
Request for new user account,Please create a new user account for our intern starting next week. Access to HR files required.,access,application,desktop,"access,application,account,hr"
Mobile device security alert,Security software on mobile device triggered an alert for suspected malware. Please investigate.,software,security,mobile,"software,security,alert,production"
ERP user access request,Need new user created in ERP system for procurement team member.,software,ERP,desktop,"software,erp,access,procurement"
Desktop PC running slow,My desktop computer is running very slowly and applications are taking a long time to open.,hardware,desktop,desktop,"hardware,desktop,performance,finance"
Unable to send email campaigns,Marketing email campaigns are not being sent. The queue is stuck and messages are not leaving the outbox.,software,email,desktop,"software,email,queue,marketing"
Legal app access request,New paralegal needs access to the legal documentation application. Please grant permissions.,access,application,desktop,"access,application,legal,permissions"
Laptop not connecting to WiFi,My laptop cannot connect to any WiFi networks in the building. Other devices are working.,network,WiFi,laptop,"network,wifi,laptop,hr"
Scanner driver update required,The shipping scanner requires a driver update to work with new software.,software,scanner,desktop,"software,scanner,logistics,update"
Server backup failed overnight,Automated server backup failed last night. Critical data may not be protected.,hardware,server,server,"hardware,server,backup,critical"
Printer not recognized by desktop,My desktop cannot find the office printer. It does not appear in the device list.,hardware,printer,printer,"hardware,printer,desktop,recognition"
Edge test: empty device type,This ticket intentionally omits the device type field for edge case testing.,other,test,,"test,edge-case,device,empty"
ERP report export fails,Users are unable to export reports from the ERP system. The export button does nothing.,software,ERP,desktop,"software,erp,export,procurement"
Edge test: empty location,This ticket leaves the location field empty to test location validation.,other,test,desktop,"test,edge-case,location,empty"
ERP app timeout for batch jobs,Batch jobs in the ERP app are timing out before completion. This delays production processes.,software,ERP,desktop,"software,erp,timeout,production"
VPN connection not stable,VPN connection drops every few minutes for HR users working remotely.,access,VPN,laptop,"access,vpn,connection,hr"
Laptop overheating warning,My laptop displays overheating warnings after short use. Please check for hardware issues.,hardware,laptop,laptop,"hardware,laptop,overheating,finance"
Edge case: test with empty tags,This ticket intentionally leaves the tags field empty to test tag validation.,other,test,desktop,
Laptop display color distortion,My laptop display shows unusual colors and flickers during presentations.,hardware,laptop,laptop,"hardware,laptop,display,sales"
Archive system Unicode compatibility,Testing Unicode compatibility in the archive system with multilingual characters.,other,unicode,,"test,unicode,archive,compatibility"
Tablet unable to connect to LAN,The support area tablet cannot connect to the LAN network. Other devices are unaffected.,network,LAN,tablet,"network,lan,tablet,support"
Printer test page unreadable,Printer generates test pages that are unreadable and faded. Please check toner and maintenance.,hardware,printer,printer,"hardware,printer,maintenance,finance"
